coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Bitcoin,BTC,40851.38,0.001,0.0,-0.027000000000000003,20476118020.0,776077432316.0,2022-03-17
Ethereum,ETH,2824.42,0.004,0.028999999999999998,0.034,13640408875.0,339077214308.0,2022-03-17
Tether,USDT,1.0,-0.0,0.0,0.0,44131404071.0,80205879149.0,2022-03-17
BNB,BNB,389.61,0.002,0.016,-0.01,1425353937.0,65561157431.0,2022-03-17
USD Coin,USDC,0.999739,-0.001,0.0,-0.0,3569816487.0,52596068421.0,2022-03-17
XRP,XRP,0.796926,0.006,0.016,0.038,3642947060.0,38342363497.0,2022-03-17
Terra,LUNA,87.64,-0.0,-0.02,-0.11800000000000001,1555363904.0,32256574723.0,2022-03-17
Solana,SOL,90.62,0.016,0.057999999999999996,0.027999999999999997,1921988835.0,29270600684.0,2022-03-17
Cardano,ADA,0.838396,0.002,0.018000000000000002,-0.013000000000000001,784436216.0,26891734979.0,2022-03-17
Avalanche,AVAX,79.78,0.002,0.083,0.027000000000000003,1386901493.0,21282040395.0,2022-03-17
Polkadot,DOT,18.88,0.001,0.02,0.055999999999999994,665211395.0,20667608398.0,2022-03-17
Binance USD,BUSD,0.999538,-0.001,-0.002,-0.001,3713594658.0,17812484632.0,2022-03-17
Dogecoin,DOGE,0.11685,0.001,0.011000000000000001,-0.038,364002532.0,15509604862.0,2022-03-17
TerraUSD,UST,1.0,-0.0,-0.001,0.002,566868455.0,15173316373.0,2022-03-17
Shiba Inu,SHIB,2.2354322e-05,-0.002,-0.002,-0.063,435900196.0,12283647613.0,2022-03-17
Wrapped Bitcoin,WBTC,40815.68,-0.001,0.0,-0.027999999999999997,257062192.0,11140930359.0,2022-03-17
Cronos,CRO,0.40337,-0.001,0.004,-0.013000000000000001,64923668.0,10212443722.0,2022-03-17
Polygon,MATIC,1.46,0.009000000000000001,0.012,-0.031,584477121.0,10031137796.0,2022-03-17
Dai,DAI,1.0,0.0,0.001,0.0,233460109.0,9445061382.0,2022-03-17
Cosmos Hub,ATOM,28.48,0.005,-0.012,-0.053,504577854.0,8263048473.0,2022-03-17
Litecoin,LTC,110.64,-0.002,0.011000000000000001,0.037000000000000005,541046078.0,7733039423.0,2022-03-17
Lido Staked Ether,STETH,2824.49,0.005,0.03,0.035,6987747.0,7293486788.0,2022-03-17
Near,NEAR,10.9,0.003,0.026000000000000002,-0.063,392643350.0,7152121268.0,2022-03-17
Chainlink,LINK,14.54,0.003,0.009000000000000001,0.037000000000000005,555565709.0,6790110728.0,2022-03-17
TRON,TRX,0.060963260767,0.001,0.004,0.002,431830570.0,6203344202.0,2022-03-17
FTX Token,FTT,43.02,0.001,0.016,0.004,63018114.0,5917599044.0,2022-03-17
LEO Token,LEO,6.23,0.004,0.044000000000000004,0.068,1071771.0,5840393387.0,2022-03-17
Bitcoin Cash,BCH,297.65,0.002,0.006,-0.035,1192569491.0,5652413614.0,2022-03-17
OKB,OKB,19.98,0.001,0.049,0.075,170494374.0,5198998452.0,2022-03-17
Algorand,ALGO,0.755697,0.013000000000000001,0.034,-0.017,138333415.0,5010872275.0,2022-03-17
Stellar,XLM,0.190708,0.003,0.021,0.009000000000000001,202509305.0,4685689241.0,2022-03-17
Uniswap,UNI,9.22,0.002,0.02,0.003,158548328.0,4212948930.0,2022-03-17
Hedera,HBAR,0.206426,0.001,0.031,-0.031,50736623.0,4083726959.0,2022-03-17
Axie Infinity,AXS,50.9,0.006,0.01,0.044000000000000004,229754416.0,3771229668.0,2022-03-17
Decentraland,MANA,2.45,0.002,0.01,-0.019,385577318.0,3706590158.0,2022-03-17
The Sandbox,SAND,3.21,0.004,0.042,0.083,1054426538.0,3671953183.0,2022-03-17
Internet Computer,ICP,16.83,0.003,0.034,-0.037000000000000005,139063958.0,3629124742.0,2022-03-17
Ethereum Classic,ETC,27.11,0.004,0.006,-0.036000000000000004,254873416.0,3623500485.0,2022-03-17
Elrond,EGLD,159.18,-0.003,-0.02,0.121,163087133.0,3510358610.0,2022-03-17
Monero,XMR,187.35,0.003,-0.01,-0.006999999999999999,162222710.0,3388734398.0,2022-03-17
cETH,CETH,56.52,0.001,0.052000000000000005,0.037000000000000005,4709.81,3354874341.0,2022-03-17
VeChain,VET,0.048673709569,0.004,0.016,0.002,226027621.0,3250000117.0,2022-03-17
Filecoin,FIL,17.67,0.002,0.024,-0.062,194035869.0,3150729995.0,2022-03-17
Fantom,FTM,1.22,-0.003,0.001,-0.107,662240690.0,3103751456.0,2022-03-17
Klaytn,KLAY,1.1,0.004,-0.002,-0.032,40036524.0,3037372912.0,2022-03-17
Osmosis,OSMO,9.33,0.002,-0.006999999999999999,-0.077,61428078.0,3010426563.0,2022-03-17
Waves,WAVES,28.78,0.003,0.006999999999999999,0.008,728914468.0,2875764773.0,2022-03-17
Frax,FRAX,0.999541,0.001,-0.0,-0.001,15926230.0,2873694989.0,2022-03-17
Theta Network,THETA,2.87,0.003,0.019,-0.065,102779208.0,2860648763.0,2022-03-17
Magic Internet Money,MIM,0.998598,0.001,0.001,-0.002,57656794.0,2782892167.0,2022-03-17
Tezos,XTZ,3.1,0.003,0.017,-0.027000000000000003,74557601.0,2726280216.0,2022-03-17
The Graph,GRT,0.4138,0.012,-0.06,0.193,215095821.0,2557806263.0,2022-03-17
cUSDC,CUSDC,0.022557565168,0.002,0.001,0.001,1167.72,2466484503.0,2022-03-17
THORChain,RUNE,8.08,0.006,0.11599999999999999,0.46399999999999997,384542700.0,2430711865.0,2022-03-17
Helium,HNT,22.94,0.004,0.057,0.057,21484397.0,2312307759.0,2022-03-17
EOS,EOS,2.09,0.006,0.012,0.009000000000000001,228300347.0,2061422334.0,2022-03-17
Flow,FLOW,5.72,0.01,0.052000000000000005,-0.053,118680955.0,2031100138.0,2022-03-17
Aave,AAVE,147.18,0.006999999999999999,0.071,0.153,406722278.0,2009385126.0,2022-03-17
IOTA,MIOTA,0.714113,-0.0,0.003,-0.033,23553216.0,1985719860.0,2022-03-17
ECOMI,OMI,0.003390695541,0.001,-0.006999999999999999,-0.253,3682195.0,1972387319.0,2022-03-17
cDAI,CDAI,0.021937899212,0.0,0.001,0.001,187.54,1928856560.0,2022-03-17
Theta Fuel,TFUEL,0.164365,0.005,0.012,0.025,15319348.0,1886178774.0,2022-03-17
Maker,MKR,2079.04,0.008,0.052000000000000005,0.087,96980207.0,1874509741.0,2022-03-17
